Song	Album	Year	Notes
Out of the Cradle	Vapor Trails	2002	Inspired by Out of the Cradle Endlessly Rocking by Walt Whitman.
Peaceable Kingdom	Vapor Trails	2002	Inspired by the Peaceable Kingdom series of paintings by Edward Hicks. Inspired by the 9/11 tragedy.[citation needed]
Secret Touch	Vapor Trails	2002	The line secret touch on the heart comes from Joseph Conrad's Victory and there is never love without pain comes from Sister of My Heart by Chitra Banerjee Divakaruni.
Sweet Miracle	Vapor Trails	2002	The lyrics I felt were very moving, and the melody just came out of me. ~ Geddy Lee
The Stars Look Down	Vapor Trails	2002	Inspired by the title of a novel with the same name written by A. J. Cronin.
Vapor Trail	Vapor Trails	2002	Inspired by the long thin artificial clouds that sometimes form behind aircraft known as a contrail.
O Baterista	Rush in Rio	2003	Drum solo Translates as The Drummer in Portuguese.
Crossroads	Feedback	2004	Robert Johnson cover song from Neil Peart's early pre-Rush career and early Rush band reproduced for the album.
For What It's Worth	Feedback	2004	Buffalo Springfield cover song from Alex Lifeson's early pre-Rush career reproduced for the album.
Heart Full of Soul	Feedback	2004	The Yardbirds cover song.
Mr. Soul	Feedback	2004	Buffalo Springfield cover song from early Rush band reproduced for the album.
Seven and Seven Is	Feedback	2004	Love cover song.
Shapes of Things	Feedback	2004	The Yardbirds cover song from early Rush band reproduced for the album.
Summertime Blues	Feedback	2004	Eddie Cochran cover song from Neil Peart's early pre-Rush career reproduced for the album.
The Seeker	Feedback	2004	The Who cover song.
Der Trommler	R30: 30th Anniversary World Tour	2005	Drum solo; Translates as The Drummer in German.
R30 Overture	R30: 30th Anniversary World Tour	2005	I. Finding My Way; II. Anthem; III. Bastille Day; IV. A Passage to Bangkok; V. Cynus X-1: The Voyage; VI. Cygnus X-1: Hemispheres
Armor and Sword	Snakes & Arrows	2007	Spiritual yearnings are natural to many people and may give them solace or hope, but extremists of any kind are not content with faith as armor, they must forge it into a sword. ~ Neil Peart
Bravest Face	Snakes & Arrows	2007	Discusses personality dualism.
Faithless	Snakes & Arrows	2007	Strings: Ben Mink; To me there were two kinds of faith: a good kind that could be protective and help people, and a bad kind that was militant and you wanted to kill people. ~ Neil Peart
Far Cry	Snakes & Arrows	2007	It was almost like we already knew the song when we wrote it. We just played it. And that was really cool. That doesn't happen very often. We were high-fiving and the whole thing, because it's a relief when something like that happens, for sure. ~ Alex Lifeson
Good News First	Snakes & Arrows	2007	I kind of couch the lyrics in the traditional relationship song of a quarrel between two people, but, again, it's in fact me arguing with these whole masses of people who just happen to disagree with me. ~ Neil Peart
Hope	Snakes & Arrows	2007	Instrumental for twelve-string guitar performed by Alex Lifeson.
Malignant Narcissism	Snakes & Arrows	2007	Inspired by the antisocial personality disorder known as malignant narcissism.
Spindrift	Snakes & Arrows	2007	Inspired by Robert Frost's epitaph, I had a lover's quarrel with the world.
The Larger Bowl	Snakes & Arrows	2007	Pantoum.
The Main Monkey Business	Snakes & Arrows	2007	Title inspired by a conversation Geddy Lee had with his Polish mother.
The Way the Wind Blows	Snakes & Arrows	2007	Compares the way our views are shaped as children to the way trees are shaped by the force of the wind over the years. If we grow up with extremist, intolerant views among our parents and others who are influential in our lives, then we can expect our views to reflect that extremism and intolerance.
We Hold On	Snakes & Arrows	2007	The line measured out in coffee breaks is from T.S. Eliot.
Workin' Them Angels	Snakes & Arrows	2007	I didn't think I was foolhardy or irresponsible, but a certain level of risk in life seemed worthwhile for the promised return—excitement and treasured experiences—and though I didn't really believe in 'them angels,' if I had them, I guessed I kept them pretty busy. ~ Neil Peart
De Slagwerker	Snakes & Arrows Live	2008	Drum solo; Translates as Drummer in Dutch.
Moto Perpetuo	Time Machine 2011: Live in Cleveland	2011	Drum solo; Title is defined as a fast instrumental passage made up of notes of equal length.
O'Malley's Break	Time Machine 2011: Live in Cleveland	2011	Guitar solo
BU2B	Clockwork Angels	2012	Single released 2010; album released 2012; A soliloquy and pantoum.
BU2B2	Clockwork Angels	2012	Strings arranged and conducted by David Campbell.
Caravan	Clockwork Angels	2012	Single released 2010; album released 2012; The line In a world lit only by fire comes from the title of a history of medieval times by William Manchester.
Carnies	Clockwork Angels	2012	Inspired by Robertson Davies and Herbert Gold.
Clockwork Angels	Clockwork Angels	2012	Contains a bluesy bar band section midway through the song.
Halo Effect	Clockwork Angels	2012	Strings arranged and conducted by David Campbell.
Headlong Flight	Clockwork Angels	2012	Inspired by Freddie Gruber.
Seven Cities of Gold	Clockwork Angels	2012	Inspired by the myth of the Seven Cities of Gold.
The Anarchist	Clockwork Angels	2012	Strings arranged and conducted by David Campbell.
The Garden	Clockwork Angels	2012	Strings arranged and conducted by David Campbell; Piano: Jason Sniderman
The Wreckers	Clockwork Angels	2012	Strings arranged and conducted by David Campbell.
Wish Them Well	Clockwork Angels	2012	We always loved the lyrics, but this was a tough song to figure out, ~ Alex Lifeson
Drumbastica	Clockwork Angels Tour	2013	Drum solo; interlude during Headlong Flight
Here It Is!	Clockwork Angels Tour	2013	Drum solo
Peke's Repose	Clockwork Angels Tour	2013	Guitar solo; lead-in to Halo Effect
The Percussor	Clockwork Angels Tour	2013	Drum solo; I. Binary Love Theme; II. Steambanger's Ball
The Story so Far	R40 Live	2015	Drum solo; interlude during Cygnus X-1
